epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.21,1.42646,1.69686,1.63081,0.51044,0.46526,0.4355,0.23122,1.80551,5.86792,2.36853,0.000663664,0.000663664,0.000663664
2,203.125,1.62914,1.75977,1.79346,0.64538,0.46316,0.5544,0.3108,1.58176,2.96424,1.71806,0.00128603,0.00128603,0.00128603
3,302.727,1.55541,1.66199,1.7465,0.74109,0.67492,0.73537,0.46218,1.37924,1.56021,1.52848,0.001864,0.001864,0.001864
4,402.341,1.45548,1.47547,1.66463,0.81843,0.6263,0.72601,0.43713,1.44758,1.52624,1.52788,0.0018002,0.0018002,0.0018002
5,501.58,1.36676,1.37239,1.58968,0.82651,0.78232,0.80869,0.53415,1.22806,1.1181,1.41321,0.0017336,0.0017336,0.0017336
6,600.923,1.351,1.29581,1.56938,0.81072,0.79789,0.84564,0.55271,1.2645,1.09282,1.42357,0.001667,0.001667,0.001667
7,700.715,1.23702,1.13714,1.47406,0.84895,0.80459,0.84854,0.57262,1.20783,0.94671,1.41331,0.0016004,0.0016004,0.0016004
8,800.092,1.24307,1.15895,1.49202,0.91305,0.81053,0.88009,0.61557,1.11681,0.7988,1.33636,0.0015338,0.0015338,0.0015338
9,899.384,1.17174,1.04613,1.44201,0.89928,0.82703,0.89678,0.61491,1.1279,0.8013,1.33635,0.0014672,0.0014672,0.0014672
10,998.898,1.13373,1.00483,1.41563,0.86441,0.85474,0.87787,0.62574,1.11233,0.85712,1.30748,0.0014006,0.0014006,0.0014006
11,1098.41,1.13252,1.01092,1.4054,0.84997,0.84679,0.87273,0.63362,1.04124,0.8214,1.24709,0.001334,0.001334,0.001334
12,1197.92,1.10201,0.97214,1.39873,0.82543,0.8561,0.87198,0.62628,1.02735,0.79661,1.25252,0.0012674,0.0012674,0.0012674
13,1297.58,1.07583,0.90958,1.3758,0.87739,0.84421,0.88693,0.61964,1.10528,0.77904,1.26996,0.0012008,0.0012008,0.0012008
14,1396.88,1.02375,0.87183,1.34603,0.9549,0.85474,0.9063,0.65699,1.01674,0.71952,1.2438,0.0011342,0.0011342,0.0011342
15,1496.33,1.05272,0.88662,1.35419,0.93438,0.84632,0.90302,0.65706,0.99648,0.70192,1.25835,0.0010676,0.0010676,0.0010676
16,1595.67,1.02401,0.85314,1.32925,0.95327,0.82947,0.89745,0.65813,0.98103,0.68724,1.22061,0.001001,0.001001,0.001001
17,1695.16,0.98792,0.82269,1.31044,0.94629,0.85306,0.90707,0.67502,0.95194,0.6618,1.19839,0.0009344,0.0009344,0.0009344
18,1794.67,0.97582,0.81035,1.31627,0.91177,0.87368,0.90566,0.66902,0.9827,0.65766,1.2217,0.0008678,0.0008678,0.0008678
19,1894.16,0.94761,0.7734,1.29207,0.92105,0.84632,0.89134,0.66689,0.96771,0.67222,1.19769,0.0008012,0.0008012,0.0008012
20,1993.41,0.96163,0.74751,1.28707,0.94103,0.83994,0.90019,0.66558,0.9726,0.65773,1.20365,0.0007346,0.0007346,0.0007346
21,2093.88,0.85651,0.61269,1.25358,0.94884,0.87158,0.9122,0.67427,0.98559,0.6365,1.19007,0.000668,0.000668,0.000668
22,2193.07,0.84827,0.58509,1.24322,0.94804,0.85263,0.89895,0.67827,0.96418,0.66231,1.20515,0.0006014,0.0006014,0.0006014
23,2292.11,0.82174,0.56867,1.2296,0.94097,0.87255,0.91706,0.68111,0.97541,0.59596,1.20538,0.0005348,0.0005348,0.0005348
24,2391.16,0.78613,0.54998,1.20925,0.94802,0.86947,0.90391,0.70204,0.90466,0.59875,1.17295,0.0004682,0.0004682,0.0004682
25,2490.84,0.75893,0.52006,1.17573,0.97611,0.86007,0.92511,0.71719,0.87149,0.56708,1.1442,0.0004016,0.0004016,0.0004016
26,2589.96,0.74077,0.49582,1.17422,0.97158,0.85263,0.9148,0.71122,0.88254,0.56776,1.15202,0.000335,0.000335,0.000335
27,2688.81,0.72346,0.48291,1.1609,0.96643,0.87158,0.91681,0.71692,0.84479,0.53687,1.12712,0.0002684,0.0002684,0.0002684
28,2787.59,0.71848,0.4684,1.15592,0.94983,0.87677,0.91723,0.69125,0.9282,0.56454,1.16671,0.0002018,0.0002018,0.0002018
29,2886.46,0.68882,0.44397,1.1232,0.95701,0.87579,0.91666,0.70259,0.91164,0.5673,1.16596,0.0001352,0.0001352,0.0001352
30,2985.28,0.67197,0.44247,1.12756,0.95971,0.87158,0.91627,0.70449,0.87595,0.54836,1.14491,6.86e-05,6.86e-05,6.86e-05
